get switch value,get base input,get arm input,get gripper input,publish base,publish arm,publish gripper,publish servo,,
4.05E-06,1.31E-05,2.91E-05,5.34E-05,0.000195265,0.00014472,0.011864901,5.01E-06,,
4.05E-06,1.67E-05,3.53E-05,6.18E-05,0.000225544,0.000131845,0.012987375,5.25E-06,,
3.58E-06,1.22E-05,2.57E-05,4.84E-05,0.00018549,0.000129461,0.012905359,5.96E-06,,
3.34E-06,1.07E-05,1.86E-05,4.29E-05,0.000176907,0.0001266,0.01715517,5.01E-06,,
3.34E-06,1.43E-05,3.15E-05,5.10E-05,0.000192165,0.000445366,0.010705709,5.01E-06,,
3.10E-06,1.26E-05,2.93E-05,5.41E-05,0.00020504,0.000152826,0.013767004,4.77E-06,,
3.34E-06,1.19E-05,2.79E-05,5.20E-05,0.000198841,0.000150681,0.010684013,5.72E-06,,
4.29E-06,1.07E-05,2.00E-05,4.32E-05,0.000180006,0.000145674,0.015207529,4.77E-06,,
0.00229454,1.36E-05,2.88E-05,5.65E-05,0.000211477,0.00024128,0.015491724,4.05E-06,,
2.38E-06,1.26E-05,2.67E-05,5.10E-05,0.000195742,0.000215769,0.012381077,4.05E-06,,
3.58E-06,1.24E-05,2.57E-05,4.98E-05,0.000190735,0.000211,0.011835337,5.48E-06,,
3.58E-06,1.19E-05,2.65E-05,4.98E-05,0.000188112,0.000146389,0.016564846,5.72E-06,,
5.46E-05,1.34E-05,3.08E-05,5.29E-05,0.000209808,0.0002985,0.011030436,5.25E-06,,
6.68E-06,1.26E-05,3.12E-05,5.34E-05,0.000189304,0.000130177,0.014533043,4.77E-06,,
3.34E-06,1.29E-05,2.79E-05,5.22E-05,0.000188828,0.00028491,0.016514778,5.25E-06,,
3.81E-06,1.24E-05,2.69E-05,5.25E-05,0.000190973,0.000134945,0.015505552,3.81E-06,,
3.81E-06,1.12E-05,1.96E-05,4.60E-05,0.000399351,0.000217199,0.015517712,5.25E-06,,
2.86E-06,1.22E-05,2.81E-05,5.17E-05,0.000466824,0.000343323,0.015135765,4.29E-06,,
3.81E-06,1.19E-05,2.50E-05,5.05E-05,0.000182152,0.000144243,0.014273167,4.29E-06,,
3.81E-06,1.34E-05,2.69E-05,5.25E-05,0.000196457,0.000129223,0.019792795,5.48E-06,,
3.10E-06,1.14E-05,2.12E-05,4.60E-05,0.000182152,0.000146151,0.015939713,5.96E-06,,
3.34E-06,1.38E-05,3.17E-05,5.36E-05,0.000221252,0.000201702,0.013677835,4.29E-06,,
